Name,City,State,Type,Star_Rating,Rating,latitude,longitude,address
Dhamma Guest House,Bodh Gaya,Bihar,Guest House,0.0,0.0,24.6979959,84.9886402,"Kalachakra maidan Rd, Bodhgaya, Bihar"
Devikripa Homestay,Thiruvananthapuram,Kerala,Homestay,0.0,0.0,8.4266349,76.9614255,"T.C. 68/1951, Pachalloor P.O., Kovalam Thiruvananthapuram Kerala, India"
Emarald Ayurveda Resort (45 Mints From Calicut Airport),Malappuram,Kerala,Resort,3.0,3.4,10.9834249,76.2208867,"Perintalmanna,Pulamanthole (Po),Malappuram District"
Dreams Palm Beach Resort,Goa,Goa,Hotel,2.0,3.5,15.5449921337,73.7576598927,"Dreams Palm Beach Resort, Umtta Vaddo, Near Calangute Beach, Bardez"
Gabadi River Edge Resort,Shimoga,Karnataka,Resort,0.0,0.0,13.9299299,75.568101,"KT Krupal,  Sri Manjunatha Rice Mills,  Gabadi, Tudur Post,  Thirthalli Taluk,Shimoga District"
FabHotel Majestica Inn Hitec City,Hyderabad,Andhra Pradesh,Hotel,3.0,4.1,17.4606782113,78.3663692549,"Hotel Majestica 2-41/2/A, Sy.4, 2nd Floor, Pavan Priyanka Plaza, Kothaguda X Road, Kondapur"
First Choice Service Apartment,Gurgaon,Haryana,Service Apartment,0.0,0.0,28.4916812,77.094897,T 26 Block Dlf Phase 3
Executive Holiday,Patna,Bihar,Guest House,3.0,4.2,25.5940947,85.1375645,"House No 15,20, Beside Krishna Apartment, Ram Krishna Path, North Srikrishna Puri."
Dream Mountain Resort,Joshimath,Uttarakhand,Lodge,0.0,0.0,30.554990243,79.5514856504,"Madho Kunj, Sunil, Auli Road"
Diplomat Home stay,Delhi,Delhi,Hotel,0.0,0.0,28.5273352,77.1515453,"9236, c9, Vasant Kunj"
